SKU,Description,Price
23820,"Marquis Non-Chlorine Shock Oxidizer 1.25lb.,   Monopersulfate- Always use residual sanitizer (chlorine or bromine) in the hot tub.(12/cs)",$8.67 
23810,"Marquis Non-Chlorine Shock Oxidizer 2.2lb. Monopersulfate- Larger, convenient size. Always use residual sanitizer (chlorine or bromine) in the hot tub.  (12/cs)",$16.25 
23811,Marquis Non-Chlorine Shock Oxidizer 5lb.  Monopersulfate Perfect size for an ATV. Always use residual sanitizer (chlorine or bromine) in the hot tub  . (8/cs),$31.25 
23823,Marquis Chlorinating Granules 1lb. Use as a residual sanitizer for hot tub. Great for use in a start-up kit  (12/case),$11.50 
23813,Marquis® Chlorinating Granules 2lb. Convenient mid-size for routine start-up or maintenance. Great sanitizer. (12/cs),$20.75 
23812,Marquis® Chlorinating Granules 5lb. Convenient large size for swim spas. (8/cs),$44.38 
23804,Marquis® Brominating Tablets 1.5lb.Slow erosion tablets keep bromine in your water.Use in floating devices. (12/cs) NOT FOR SALE IN NY,$29.80 
20174,"Bromine Feeder in Blue - Bromine feeder will hold brominating tablets for
automatic dispensing. Quantity: Each",$7.50 
23802,Marquis® pH Increaser-1 lb. Raises low pH. Low pH may result in scaling hot tub components and cause redeye. Maintain level of 7.2 to 7.6. (12/cs),$2.89 
23803,Marquis® Alkalinity Increaser -1lb. Raise alkalinity to maintain a buffer and prevent pH bounce. Maintain alkalinity between 80-140 ppm. (12/cs),$2.89 
23863,Marquis® Alkalinity Increaser 2lb. bottle LARGER SIZE  Raise alkalinity to prevent pH bounce. Keep alkalinity between 80-140 ppm. (12/cs),$5.20 
23814,"Marquis® pH & Alkalinity Decreaser 1.25 lb. A 2-in-1 product. When pH and Alkalinity are too high, build up may affect components. (12/cs)",$3.60 
23815,"Marquis® Calcium Increaser 16 oz. Reduces foaminess in the hot tub, when water is too soft. Ideal calcium between 150-250 ppm. (12/cs)",$3.60 
23857,"303 Protectant 16 oz. Spray Bottle - Works on a variety of household items such as vinyl furniture, vinyl covers (6/cs)",$9.95 
23866,303 Fabric Guard 16 oz. Spray Bottle Protect your weathershield cover by enhancing water repellancy. (6/cs),$12.95 
23864,"Ultimate Cleanse - 4 oz. jar - Just a teaspoon does it, simply add to water before you 're ready to dump it and let the spa run for 20 minutes, and drain, removes build up on pipes 12/cs",$16.00 
23816,"Marquis Vinyl Cover Cleaner 16 oz. Bottle Conditions and cleans vinyl covers.
(12/cs)",$8.00 
23809,Marquis Jetline Cleaner 16 oz. Bottle Removes gunk in plumbing. Use at drain and fill. (12/cs),$7.40 
23808,Marquis Rapid Action Filter Cleaner 32 oz. w/Spray Nozzle   Use as a soaking solution or as a spray-on/rinse. (12/cs) Not for use on acrylic surfaces.,$8.40 
23807,"Marquis Spa Bright All-Purpose Cleaner 32 oz. with Spray Nozzle   Safe for acrylic, removes build-up. Spray on and wipe away. (12/cs)",$7.30 
23817,Marquis Water Clarifier 16 oz. bottle- Group solids to be captured by filter and removed from the hot tub. (12/cs),$3.75 
23818,Marquis Defoamer 16 oz. bottle  Silicone-based defoamer will keep foaming under control. (12/cs),$5.45 
23819,"Marquis Metal & Stain Remover 16 oz. bottle - On start-up, treat your spa for iron and other metals/minerals. (12/cs)",$5.05 
23806,Marquis® Naturally Clear Enzyme 32 oz. bottle  Emulsify and biodegrade contaminants. Use in high bather load hot tubs. (12/cs),$8.20 
20010,Paradise Spa Vacuum Sweep up particles and dirt that accumulate on the seats and floor of your hot tub. Excluded from free freight offer. (6/cs),$37.00 
20025,"Skimmer Net Long enough for a hot tub, but not as big as a pool skimmer. 2 ft. overall length. Sold individually.",$5.75 
20026,"Marquis Oil Absorbing Floating Sponge remove oils at waterline, remove and toss when saturated. (shown with Marquis Sponge Glove) Sold Individually",$3.25 
20037,"Marquis Sponge Glove Non-scratch surface protects hands during cleaning. One
size fits most. (shown with Oil Absorbing sponge) Sold individually",$6.25 
23826,"Filter Flosser Filter Cleaning Wand The right amount of  pressure to clean out in-between pleats on filters.  Stainless steel, great for technicians.  (10/cs)",$19.95 
23854,"Spin Lab Disks for testing water, 50 per box. Test Chlorine/Bromine/Iron/pH/Alkalinity. Each box contains 50 tests",$135.00 
23859,"Marquis® Sample Water Test Bottle - full size 16 oz. water bottle  Offer water
sampling in your store for testing. Encourage customers to water test. Sold individually",$1.40 
20598,"Measuring Cup 8 oz. capacity, opaque plastic, rectangle with large spout, high capacity for larger hot tubs. Sold individually",$0.80 
20720,"Chlorine/Bromine 6-in-1 Test Strips, 50/bottle, tests for Chlorine/
Bromine/Alkalinity/Hardness/Free Chlorine/pH. Recommended for Europe and Canada. (12/cs)",$7.45 
20092,"Marquis® Filter Signature 2010-2020/Vector21 2016-2022, 35 Sq. Ft., threaded, 3 oz. antimicrobial, with gray Marquis caps.  (8/cs)",$21.50 
20690,"Marquis® Filter - CROWN//Marquis Elite 2021 V150(P,W) 2019+, 50 Sq. Ft., threaded, 3 oz. media, (excludes Nashville Elite) (8/cs)",$22.00 
20042,"Original Marquis® Sig. 2000-10/Vector21 2023/2019+ BASE CELEBRITY & Nashville Elite - 35 Sq. Ft., threaded, 3 oz. media, white with gray crescent pull cap, Double banded. (8/cs)",$21.00 
20499,"ATV Filter, 90 Sq. Ft., 4 oz. antimicrobial, threaded, gray cap with handle. (4/cs)",$49.50 
20364,"Marquis® Filter E-Series 2010+, 35 Sq. Ft. Slip, 3 oz. with anti-microbial, with open hole, inhibits bacterial growth. Case quantity 8.",$21.50 
20342,"Marquis® Filter - Base Celebrity thru 2018 and e-Series from 2008-2010, 25 Sq. Ft., slip, 3 oz. white, open hole. Case quantity 8.",$12.50 
20044,"Original Marquis® Signature Filter 1997-1999 - 50 sq. ft., slip, 3 oz. white with
flat gray top and string loop. Case quantity 8.",$24.50 
20091,"Original Marquis® Signature Filter 50 Sq. Ft., 2000-10, Gray top, anti- microbial, threaded, inhibits bacteria growth, fits Signature Series  Case quantity 8.",$24.50 
20045,"Original Marquis® Signature Filter Pre-1997 35 Sq. Ft., slip, 3 oz. white media, Gray end caps. Case quantity 8.",$21.00 
20041,"Original Marquis® Signature Filter 2000+- 50 Sq. Ft., threaded, 3 oz.  white with gray crescent pull cap. Case quantity 8.",$24.50 
20363,"Original Marquis® Filter e-Series 2010+, 35 Sq. Ft. Slip, 3 oz. with open hole
Case quantity 8.",$19.50 
20008,"Marquis Pre-Fill Filter, 4 Sq. Ft., removes sediment from water before filling Good
for 3 fills. Case quantity 8.",$13.50 
20027,Cover Lock Kit with Center Release and Keys (4 pc)  Cover Lock sets consist of both male and female end with plastic keys.,$8.95 
23858,"Easy Klip® Spa Cover Tie Down Repair Kit - Set of two black clips with two 6"" black bungee cords. Replace broken tie-down straps, holds skirt securely,  No modifications to make.",$6.25 
20694,"16 oz Beverage Tumblers, stainless steel with lid closure for safely sipping your favorite drink spaside. Double walled, keeps cool drinks cool and warm drinks warm. Sold individually",$19.95 
20498,"Luther Loon, fun, floating hot tub accessory.  The official ambassador for Marquis®. Use him as a giveaway.  Sold individually",$13.00 
20724,"Marquis® Booster Seat, black mesh, with marble or pea gravel pocket for weighted stability. High End, with zipper closure.  Increases height by 4"" Sold individually.",$29.10 
20319,"Marquis® Logo Plush Towel in White, bath sheet size 35"" x 70"", heavy duty, plush terry towel. 10 per case or sold individually.",$39.95 
23822,"ATV Resistance & Rowing Kit, Resistance bands with straps and row bars",$425.00 
